,0,1
COG0001,0.4594093308603226,0.5499685732243873
COG0002,0.4413261976243313,0.5635422656699253
COG0003,0.49386503067484705,0.7882882882882883
COG0004,0.4938650306748469,0.5180180180180183
COG0005,0.4305490011011486,0.5821205821205824
COG0006,0.48520073189107754,0.5144618302513041
COG0007,0.4305490011011486,0.5821205821205824
COG0008,0.4854944369345953,0.5130554283096657
COG0009,0.38162297824874536,0.6234643734643737
COG0010,0.6130738311825684,0.4240447343895621
COG0011,0.3865030674846628,0.6580493537015277
COG0012,0.45728243581004335,0.5430430430430432
COG0013,0.4669269380925826,0.5331695331695333
COG0014,0.43363758790962154,0.5767963085036256
COG0015,0.3904979312312743,0.6159648020113137
COG0016,0.5115030674846629,0.4898648648648651
COG0017,0.40671237820281514,0.6677265500794916
COG0018,0.43460122699386533,0.5675675675675678
COG0019,0.47411042944785303,0.5297297297297298
COG0020,0.5022356244150986,0.49702244617498864
COG0021,0.47239263803681014,0.5346650998824914
COG0022,0.6884179215467562,0.3439803439803441
COG0023,0.6078338839075037,0.5093555093555094
COG0024,0.5189768118956019,0.4809894640403116
COG0025,0.5267893660531698,0.5045045045045046
COG0026,0.30061349693251554,0.7403055229142186
COG0027,0.41588634162092364,0.6472261735419632
COG0028,0.5505380669817966,0.4497120070890564
COG0029,0.435763262360159,0.584260731319555
COG0030,0.502844394868935,0.498771498771499
COG0031,0.47239263803681014,0.5346650998824914
COG0033,0.3841172460804365,0.6831831831831833
COG0034,0.3950920245398774,0.6096096096096099
COG0035,0.37989617744218995,0.6548856548856549
COG0036,0.49386503067484677,0.5108108108108109
COG0037,0.4558754129306279,0.5457380457380459
COG0038,0.4938650306748468,0.5320945945945946
COG0039,0.423312883435583,0.5855855855855858
COG0040,0.3639005489183081,0.6472261735419633
COG0041,0.27859053012427265,0.7276507276507279
COG0042,0.4413261976243313,0.5635422656699253
COG0043,0.6173312883435585,0.4138513513513514
COG0044,0.32101226993865045,0.6858108108108111
COG0045,0.4691717791411044,0.5439189189189191
COG0046,0.4389911383776416,0.5675675675675678
COG0047,0.5291411042944788,0.5067567567567569
COG0048,0.47487022180273725,0.5275467775467777
COG0049,0.47487022180273725,0.5275467775467777
COG0050,0.615307251332596,0.38768276473194513
COG0051,0.4845468225489064,0.5175930647628763
COG0052,0.4294478527607363,0.5757931844888367
COG0053,0.33953220858895733,0.6798986486486489
COG0054,0.47411042944785303,0.5297297297297298
COG0055,0.46481414651750297,0.5378908320084792
COG0056,0.5031832388007874,0.49974502804691484
COG0057,0.45728243581004335,0.5430430430430432
COG0058,0.3703987730061352,0.6503378378378382
COG0059,0.46362839614373375,0.5405405405405406
COG0060,0.3992951311839187,0.6037952846463487
COG0061,0.38162297824874536,0.6234643734643737
COG0062,0.493865030674847,0.6081081081081083
COG0063,0.30391694195375196,0.7033957033957037
COG0064,0.45092024539877323,0.5552291421856641
COG0065,0.4623417308445376,0.5434157561817139
COG0066,0.4594093308603226,0.5499685732243873
COG0067,0.493865030674847,0.7094594594594598
COG0068,0.37039877300613516,0.7094594594594598
COG0069,0.43643886431730644,0.5719673161533629
COG0070,0.493865030674847,0.7094594594594598
COG0071,0.4938650306748469,0.5180180180180183
COG0072,0.5115030674846629,0.4898648648648651
COG0073,0.3703987730061352,0.6700450450450454
COG0074,0.5253883305051561,0.483036227717079
COG0075,0.41588634162092364,0.5974395448079661
COG0076,0.40671237820281514,0.6677265500794916
COG0077,0.3762781186094071,0.6306306306306307
COG0078,0.38162297824874536,0.6234643734643737
