COG0001,COG0001
COG0002,COG0002
COG0003,COG0003
COG0004,COG0004
COG0005,COG0005
COG0006,COG0006
COG0007,COG0007
COG0008,COG0008
COG0009,COG0009
COG0010,COG0010
COG0011,COG0011
COG0012,COG0012
COG0013,COG0013
COG0014,COG0014
COG0015,COG0015
COG0016,COG0016
COG0017,COG0017
COG0018,COG0018
COG0019,COG0019
COG0020,COG0020
COG0021,COG0021
COG0022,COG0022
COG0023,COG0023
COG0024,COG0024
COG0025,COG0025
COG0026,COG0026
COG0027,COG0027
COG0028,COG0028
COG0029,COG0029
COG0030,COG0030
COG0031,COG0031
COG0033,COG0033
COG0034,COG0034
COG0035,COG0035
COG0036,COG0036
COG0037,COG0037
COG0038,COG0038
COG0039,COG0039
COG0040,COG0040
COG0041,COG0041
COG0042,COG0042
COG0043,COG0043
COG0044,COG0044
COG0045,COG0045
COG0046,COG0046
COG0047,COG0047
COG0048,COG0048
COG0049,COG0049
COG0050,COG0050
COG0051,COG0051
COG0052,COG0052
COG0053,COG0053
COG0054,COG0054
COG0055,COG0055
COG0056,COG0056
COG0057,COG0057
COG0058,COG0058
COG0059,COG0059
COG0060,COG0060
COG0061,COG0061
COG0062,COG0062
COG0063,COG0063
COG0064,COG0064
COG0065,COG0065
COG0066,COG0066
COG0067,COG0067
COG0068,COG0068
COG0069,COG0069
COG0070,COG0070
COG0071,COG0071
COG0072,COG0072
COG0073,COG0073
COG0074,COG0074
COG0075,COG0075
COG0076,COG0076
COG0077,COG0077
COG0078,COG0078
COG0079,COG0079
COG0080,COG0080
COG0081,COG0081
COG0082,COG0082
COG0083,COG0083
COG0084,COG0084
COG0085,COG0085
COG0086,COG0086
COG0087,COG0087
COG0088,COG0088
COG0089,COG0089
COG0090,COG0090
COG0091,COG0091
COG0092,COG0092
COG0093,COG0093
COG0094,COG0094
COG0095,COG0095
COG0096,COG0096
COG0097,COG0097
COG0098,COG0098
COG0099,COG0099
COG0100,COG0100
COG0101,COG0101
COG0102,COG0102
COG0103,COG0103
COG0104,COG0104
COG0105,COG0105
COG0106,COG0106
COG0107,COG0107
COG0108,COG0108
COG0109,COG0109
COG0110,COG0110
COG0111,COG0111
COG0112,COG0112
COG0113,COG0113
COG0114,COG0114
COG0115,COG0115
COG0116,COG0116
COG0117,COG0117
COG0118,COG0118
COG0119,COG0119
COG0120,COG0120
COG0121,COG0121
COG0122,COG0122
COG0123,COG0123
COG0124,COG0124
COG0125,COG0125
COG0126,COG0126
COG0127,COG0127
COG0128,COG0128
COG0129,COG0129
COG0130,COG0130
COG0131,COG0131
COG0132,COG0132
COG0133,COG0133
COG0134,COG0134
COG0135,COG0135
COG0136,COG0136
COG0137,COG0137
COG0138,COG0138
COG0139,COG0139
COG0140,COG0140
COG0141,COG0141
COG0142,COG0142
COG0143,COG0143
COG0144,COG0144
COG0145,COG0145
COG0146,COG0146
COG0147,COG0147
COG0148,COG0148
COG0149,COG0149
COG0150,COG0150
COG0151,COG0151
COG0152,COG0152
COG0153,COG0153
COG0154,COG0154
COG0155,COG0155
COG0156,COG0156
COG0157,COG0157
COG0158,COG0158
COG0159,COG0159
COG0160,COG0160
COG0161,COG0161
COG0162,COG0162
COG0163,COG0163
COG0164,COG0164
COG0165,COG0165
COG0166,COG0166
COG0167,COG0167
COG0168,COG0168
COG0169,COG0169
COG0170,COG0170
COG0171,COG0171
COG0172,COG0172
COG0173,COG0173
COG0174,COG0174
COG0175,COG0175
COG0176,COG0176
COG0177,COG0177
COG0178,COG0178
COG0179,COG0179
COG0180,COG0180
COG0181,COG0181
COG0182,COG0182
COG0183,COG0183
COG0184,COG0184
COG0185,COG0185
COG0186,COG0186
COG0187,COG0187
COG0188,COG0188
COG0189,COG0189
COG0190,COG0190
COG0191,COG0191
COG0192,COG0192
COG0193,COG0193
COG0194,COG0194
COG0195,COG0195
COG0196,COG0196
COG0197,COG0197
COG0198,COG0198
COG0199,COG0199
COG0200,COG0200
COG0201,COG0201
COG0202,COG0202
COG0203,COG0203
COG0204,COG0204
COG0205,COG0205
COG0206,COG0206
COG0207,COG0207
COG0208,COG0208
COG0209,COG0209
COG0210,COG0210
COG0211,COG0211
COG0212,COG0212
COG0213,COG0213
COG0214,COG0214
COG0215,COG0215
COG0216,COG0216
COG0217,COG0217
COG0218,COG0218
COG0219,COG0219
COG0220,COG0220
COG0221,COG0221
